AccX,AccY,AccZ,Roll,Pitch,Yaw,MagX,MagY,MagZ,MagH,Force
-8415.03,303.36,11722.29,89.21,121.14,-157.98,-156,303,-483,-53.12,29.5266940996
-9076.03,-1546.64,12417.29,71.87,124.85,-159.97,-179,310,-484,-67.00,33.4120410434
-8337.03,1237.36,10195.29,76.39,135.95,-146.33,-185,306,-488,-77.47,0.0
-9722.03,-486.64,11456.29,25.82,139.92,-168.17,-197,317,-473,-101.94,0.0
-7794.03,2.36,10892.29,38.64,154.30,-148.74,-196,335,-454,-84.10,0.0
-8835.03,494.36,10522.29,-7.05,157.04,-168.49,-197,345,-446,-95.08,0.0
-8222.03,438.36,10732.29,-32.81,158.04,-179.55,-199,346,-445,-118.56,0.0
-7754.03,839.36,11568.29,-108.55,161.37,146.28,-193,340,-450,71.41,0.0
-8597.03,-179.64,11182.29,-193.01,163.76,102.97,-165,338,-440,54.55,0.0
-8433.03,1474.36,10453.29,-145.33,162.12,125.80,-153,331,-446,61.44,19.4247920456
-8639.03,201.36,11463.29,-223.39,152.04,85.25,-164,332,-452,-17.98,25.2528124614
-8680.03,-28.64,11451.29,-215.27,142.31,87.47,-169,333,-449,-8.97,27.3897532805
-8374.03,1582.36,10815.29,-248.25,142.41,62.30,-159,324,-455,-20.21,0.0
-8983.03,594.36,11165.29,-212.24,125.83,81.60,-168,344,-436,0.63,0.0
-8065.03,482.36,11027.29,-240.36,121.78,64.68,-170,350,-428,-23.61,0.0
-8873.03,599.36,10713.29,-241.58,115.37,60.34,-172,361,-421,-25.15,0.0
-8183.03,975.36,10816.29,-252.22,108.04,51.98,-178,376,-403,-32.82,0.0
-8530.03,638.36,11017.29,-252.38,97.04,37.06,-182,377,-401,-33.74,0.0
-8337.03,1092.36,10727.29,-260.15,93.43,24.14,-162,367,-407,-42.81,0.0
-7798.03,2682.36,9219.29,-292.76,86.81,-10.71,-93,329,-403,-68.22,0.0
-5959.03,4576.36,8212.29,-318.23,71.19,-38.84,1,254,-366,-105.94,0.0
-4570.03,5017.36,7149.29,-319.86,59.16,-55.62,31,212,-349,-109.78,0.0
-3986.03,4905.36,6365.29,-316.55,51.86,-73.25,53,160,-325,-107.31,0.0
-5503.03,4350.36,7523.29,-306.39,62.43,-67.28,29,200,-373,-102.94,0.0
-7169.03,3350.36,8825.29,-290.45,70.23,-57.07,-22,248,-421,-91.21,0.0
-8037.03,2047.36,10214.29,-267.76,72.68,-42.29,-108,297,-460,-69.80,0.0
-8290.03,99.36,12530.29,-245.73,71.60,-23.94,-224,329,-479,-48.50,0.0
-7193.03,-1377.64,17202.29,-205.72,64.59,1.16,-405,320,-457,2.46,0.0
-6094.03,-1357.64,19330.29,-183.78,63.05,10.92,-454,287,-455,36.03,0.0
-6040.03,-1168.64,18758.29,-184.86,57.17,16.81,-463,284,-451,50.36,0.0
-5446.03,-667.64,19501.29,-183.16,54.49,25.17,-481,280,-440,63.50,0.0
-5103.03,-1118.64,19623.29,-183.64,48.59,34.01,-490,276,-435,77.79,0.0
-5436.03,-852.64,19604.29,-194.69,41.51,45.18,-484,277,-440,95.75,0.0
-6053.03,-340.64,19073.29,-199.69,38.30,47.26,-455,282,-460,96.31,0.0
-7903.03,700.36,16868.29,-217.77,34.13,34.08,-374,296,-492,-64.43,0.0
-7949.03,802.36,15054.29,-222.30,22.53,8.02,-299,303,-501,-113.49,0.0
-8220.03,2624.36,10608.29,-232.39,14.19,-36.91,-133,278,-487,-90.07,0.0
-4870.03,4197.36,6653.29,-225.68,5.53,-87.74,30,168,-385,-72.90,0.0
-3345.03,3946.36,5964.29,-124.41,72.26,-58.75,51,127,-348,-64.41,0.0
-2474.03,3786.36,5175.29,90.63,50.59,4.71,62,99,-309,-76.30,0.0
-1521.03,3199.36,4759.29,66.82,19.20,
